Current QPC,QPC Freq,Current PresentCount,stats.PresentCount,stats.PresentRefreshCount,stats.SyncRefreshCount,stats.SyncQPCTime
11566061922,3330092,1,0,0,0,0
11566065444,3330092,2,0,0,0,0
11566067195,3330092,3,0,0,0,0
11566121621,3330092,4,0,0,0,0
11566176501,3330092,5,1,206519,206519,11566175796
11566232353,3330092,6,2,206520,206520,11566231419
11566287667,3330092,7,3,206521,206521,11566286955
11566343254,3330092,8,4,206522,206522,11566342491
11566399162,3330092,9,5,206523,206523,11566398098
11566454720,3330092,10,6,206524,206524,11566453613
11566510320,3330092,11,7,206525,206525,11566509148
11566565712,3330092,12,8,206526,206526,11566564702
11566621631,3330092,13,9,206527,206527,11566620277
11566676899,3330092,14,10,206528,206528,11566675801
11566732584,3330092,15,11,206529,206529,11566731365
11566788001,3330092,16,12,206530,206530,11566786896
11566843357,3330092,17,13,206531,206531,11566842392
11566899021,3330092,18,14,206532,206532,11566897964
11566954391,3330092,19,15,206533,206533,11566953521
11567010495,3330092,20,16,206534,206534,11567009129
11567065802,3330092,21,17,206535,206535,11567064635
11567121322,3330092,22,18,206536,206536,11567120209
11567177091,3330092,23,19,206537,206537,11567175770
11567232126,3330092,24,20,206538,206538,11567231256
11567288078,3330092,25,21,206539,206539,11567286850
11567343515,3330092,26,22,206540,206540,11567342387
11567399023,3330092,27,23,206541,206541,11567397929
11567454700,3330092,28,24,206542,206542,11567453440
11567510201,3330092,29,25,206543,206543,11567509042
11567565881,3330092,30,26,206544,206544,11567564632
11567620980,3330092,31,27,206545,206545,11567620049
11567676730,3330092,32,28,206546,206546,11567675644
11567732536,3330092,33,29,206547,206547,11567731255
11567787986,3330092,34,30,206548,206548,11567786783
11567843564,3330092,35,31,206549,206549,11567842283
11567898914,3330092,36,32,206550,206550,11567897859
11567954531,3330092,37,33,206551,206551,11567953428
11568010131,3330092,38,34,206552,206552,11568008986
11568065567,3330092,39,35,206553,206553,11568064529
11568120981,3330092,40,36,206554,206554,11568120046
11568176747,3330092,41,37,206555,206555,11568175627
11568232158,3330092,42,38,206556,206556,11568231181
11568287867,3330092,43,39,206557,206557,11568286658
11568343125,3330092,44,40,206558,206558,11568342248
11568398815,3330092,45,41,206559,206559,11568397743
11568454276,3330092,46,42,206560,206560,11568453373
11568509965,3330092,47,43,206561,206561,11568508911
11568565467,3330092,48,44,206562,206562,11568564467
11568620898,3330092,49,45,206563,206563,11568620057
11568676773,3330092,50,46,206564,206564,11568675606
11568732249,3330092,51,47,206565,206565,11568731088
11568787771,3330092,52,48,206566,206566,11568786633
