Current QPC,QPC Freq,Last PresentCount,stats.PresentCount,stats.PresentRefreshCount,stats.SyncRefreshCount,stats.SyncQPCTime,stats.SyncQPCTime (us),Measured time (us),Duration (measured) (us),Stddevs from mean,Presented on refresh #,Presented at time (us),Duration (present) (us),Stddevs from mean,Swapchain latency (us),Latency (frames),,,,
11566061922,3330092,1,0,0,0,0,#N/A,0.00,"1,057.63",38.144,206519,"34,195.45","16,703.14",0.992,"34,195.452",2.05,,us,ms,fps
11566065444,3330092,2,0,0,0,0,#N/A,"1,057.63",525.81,39.444,206520,"50,898.59","16,677.02",0.178,"49,840.965",2.99,Avg measured time:,"16,670.669",16.671,59.986
11566067195,3330092,3,0,0,0,0,#N/A,"1,583.44","16,343.69",0.799,206521,"67,575.61","16,677.02",0.178,"65,992.171",3.96,Stddev:,409.314,0.409,
11566121621,3330092,4,0,0,0,0,#N/A,"17,927.13","16,480.03",0.466,206522,"84,252.63","16,698.34",0.777,"66,325.495",3.98,Avg present time:,"16,680.999",16.681,59.948
11566176501,3330092,5,1,206519,206519,11566175796,34195.45,"34,407.16","16,771.91",0.247,206523,"100,950.96","16,670.71",0.461,"66,543.807",3.99,Stddev:,22.317,0.022,
11566232353,3330092,6,2,206520,206520,11566231419,50898.59,"51,179.07","16,610.35",0.147,206524,"117,621.68","16,676.72",0.192,"66,442.609",3.98,,,,
11566287667,3330092,7,3,206521,206521,11566286955,67575.61,"67,789.42","16,692.33",0.053,206525,"134,298.39","16,682.42",0.064,"66,508.973",3.99,Stddev threshold:,0.500,,
11566343254,3330092,8,4,206522,206522,11566342491,84252.63,"84,481.75","16,788.73",0.288,206526,"150,980.81","16,688.73",0.346,"66,499.064",3.99,Avg measured time:,"16,680.841",16.681,59.949
11566399162,3330092,9,5,206523,206523,11566398098,100950.96,"101,270.48","16,683.62",0.032,206527,"167,669.54","16,673.41",0.340,"66,399.066",3.98,Stddev:,70.438,0.070,
11566454720,3330092,10,6,206524,206524,11566453613,117621.68,"117,954.10","16,696.24",0.062,206528,"184,342.96","16,685.42",0.198,"66,388.857",3.98,Avg present time:,"16,680.745",16.681,59.949
11566510320,3330092,11,7,206525,206525,11566509148,134298.39,"134,650.33","16,633.77",0.090,206529,"201,028.38","16,675.52",0.246,"66,378.046",3.98,Stddev:,6.115,0.006,
11566565712,3330092,12,8,206526,206526,11566564702,150980.81,"151,284.11","16,792.03",0.296,206530,"217,703.90","16,665.01",0.717,"66,419.787",3.98,,,,
11566621631,3330092,13,9,206527,206527,11566620277,167669.54,"168,076.14","16,596.54",0.181,206531,"234,368.90","16,687.83",0.306,"66,292.763",3.97,,,,
11566676899,3330092,14,10,206528,206528,11566675801,184342.96,"184,672.68","16,721.76",0.125,206532,"251,056.73","16,683.32",0.104,"66,384.052",3.98,,,,
11566732584,3330092,15,11,206529,206529,11566731365,201028.38,"201,394.44","16,641.28",0.072,206533,"267,740.05","16,698.64",0.790,"66,345.614",3.98,,,,
11566788001,3330092,16,12,206530,206530,11566786896,217703.90,"218,035.72","16,622.96",0.117,206534,"284,438.69","16,668.01",0.582,"66,402.970",3.98,,,,
11566843357,3330092,17,13,206531,206531,11566842392,234368.90,"234,658.68","16,715.45",0.109,206535,"301,106.70","16,688.43",0.333,"66,448.014",3.98,,,,
11566899021,3330092,18,14,206532,206532,11566897964,251056.73,"251,374.14","16,627.17",0.106,206536,"317,795.12","16,684.52",0.158,"66,420.988",3.98,,winpty build/mpv.com --no-config --profile=opengl-hq --video-sync=display-resample --angle-swapchain-length=3 --no-terminal --angle-max-frame-latency=3 /d/Users/James/Downloads/Tangled.Before.Ever.After.2017.1080p.WEBRip.AAC.2.0.x264-SRS.mkv,,
11566954391,3330092,19,15,206533,206533,11566953521,267740.05,"268,001.30","16,847.58",0.432,206537,"334,479.65","16,662.00",0.851,"66,478.344",3.99,,,,
11567010495,3330092,20,16,206534,206534,11567009129,284438.69,"284,848.89","16,608.25",0.152,206538,"351,141.65","16,694.43",0.602,"66,292.763",3.97,,,,
11567065802,3330092,21,17,206535,206535,11567064635,301106.70,"301,457.14","16,672.21",0.004,206539,"367,836.08","16,677.32",0.165,"66,378.947",3.98,,,,
11567121322,3330092,22,18,206536,206536,11567120209,317795.12,"318,129.35","16,746.98",0.186,206540,"384,513.40","16,678.82",0.098,"66,384.052",3.98,,,,
11567177091,3330092,23,19,206537,206537,11567175770,334479.65,"334,876.33","16,526.57",0.352,206541,"401,192.22","16,669.51",0.515,"66,315.886",3.98,,,,
11567232126,3330092,24,20,206538,206538,11567231256,351141.65,"351,402.90","16,801.94",0.321,206542,"417,861.73","16,696.84",0.710,"66,458.825",3.98,,,,
11567288078,3330092,25,21,206539,206539,11567286850,367836.08,"368,204.84","16,647.29",0.057,206543,"434,558.56","16,693.23",0.548,"66,353.722",3.98,,,,
11567343515,3330092,26,22,206540,206540,11567342387,384513.40,"384,852.13","16,668.61",0.005,206544,"451,251.80","16,641.28",1.780,"66,399.667",3.98,,,,
11567399023,3330092,27,23,206541,206541,11567397929,401192.22,"401,520.74","16,719.36",0.119,206545,"467,893.08","16,694.73",0.615,"66,372.340",3.98,,,,
11567454700,3330092,28,24,206542,206542,11567453440,417861.73,"418,240.10","16,666.51",0.010,206546,"484,587.81","16,699.54",0.831,"66,347.717",3.98,,,,
11567510201,3330092,29,25,206543,206543,11567509042,434558.56,"434,906.60","16,720.26",0.121,206547,"501,287.35","16,674.61",0.286,"66,380.749",3.98,,,,
11567565881,3330092,30,26,206544,206544,11567564632,451251.80,"451,626.86","16,545.79",0.305,206548,"517,961.97","16,666.21",0.663,"66,335.104",3.98,,,,
11567620980,3330092,31,27,206545,206545,11567620049,467893.08,"468,172.65","16,741.28",0.173,206549,"534,628.17","16,689.03",0.360,"66,455.521",3.98,,,,
11567676730,3330092,32,28,206546,206546,11567675644,484587.81,"484,913.93","16,758.10",0.214,206550,"551,317.20","16,686.93",0.266,"66,403.271",3.98,,,,
11567732536,3330092,33,29,206547,206547,11567731255,501287.35,"501,672.03","16,651.19",0.048,206551,"568,004.13","16,683.62",0.118,"66,332.101",3.98,,,,
11567787986,3330092,34,30,206548,206548,11567786783,517961.97,"518,323.22","16,689.63",0.046,206552,"584,687.75","16,679.12",0.084,"66,364.533",3.98,,,,
11567843564,3330092,35,31,206549,206549,11567842283,534628.17,"535,012.85","16,621.16",0.121,206553,"601,366.87","16,671.31",0.434,"66,354.023",3.98,,,,
11567898914,3330092,36,32,206550,206550,11567897859,551317.20,"551,634.01","16,701.34",0.075,206554,"618,038.18","16,690.53",0.427,"66,404.171",3.98,,,,
11567954531,3330092,37,33,206551,206551,11567953428,568004.13,"568,335.35","16,696.24",0.062,206555,"634,728.71","16,682.42",0.064,"66,393.361",3.98,,,,
11568010131,3330092,38,34,206552,206552,11568008986,584687.75,"585,031.58","16,646.99",0.058,206556,"651,411.13","16,659.30",0.972,"66,379.547",3.98,,,,
11568065567,3330092,39,35,206553,206553,11568064529,601366.87,"601,678.57","16,640.38",0.074,206557,"668,070.43","16,693.23",0.548,"66,391.859",3.98,,,,
11568120981,3330092,40,36,206554,206554,11568120046,618038.18,"618,318.95","16,746.08",0.184,206558,"684,763.66","16,664.70",0.730,"66,444.711",3.98,,,,
11568176747,3330092,41,37,206555,206555,11568175627,634728.71,"635,065.04","16,639.48",0.076,206559,"701,428.37","16,705.24",1.086,"66,363.332",3.98,,,,
11568232158,3330092,42,38,206556,206556,11568231181,651411.13,"651,704.52","16,728.97",0.142,206560,"718,133.61","16,677.62",0.152,"66,429.096",3.98,,,,
11568287867,3330092,43,39,206557,206557,11568286658,668070.43,"668,433.48","16,593.54",0.188,206561,"734,811.23","16,683.02",0.091,"66,377.746",3.98,,,,
11568343125,3330092,44,40,206558,206558,11568342248,684763.66,"685,027.02","16,723.26",0.128,206562,"751,494.25","16,693.23",0.548,"66,467.233",3.98,,,,
11568398815,3330092,45,41,206559,206559,11568397743,701428.37,"701,750.28","16,654.49",0.040,206563,"768,187.49","16,680.92",0.004,"66,437.204",3.98,,,,
11568454276,3330092,46,42,206560,206560,11568453373,718133.61,"718,404.78","16,722.96",0.128,206564,"784,868.41","16,660.80",0.905,"66,463.629",3.98,,,,
11568509965,3330092,47,43,206561,206561,11568508911,734811.23,"735,127.74","16,666.81",0.009,206565,"801,529.21","16,679.72",0.057,"66,401.469",3.98,,,,
11568565467,3330092,48,44,206562,206562,11568564467,751494.25,"751,794.55","16,645.49",0.062,206566,"818,208.93","16,709.15",1.261,"66,414.381",3.98,,,,
11568620898,3330092,49,45,206563,206563,11568620057,768187.49,"768,440.03","16,778.82",0.264,206567,"834,918.07","16,668.61",0.555,"66,478.043",3.99,,,,
11568676773,3330092,50,46,206564,206564,11568675606,784868.41,"785,218.85","16,659.00",0.029,206568,"851,586.68","16,686.33",0.239,"66,367.836",3.98,,,,
11568732249,3330092,51,47,206565,206565,11568731088,801529.21,"801,877.85","16,672.81",0.005,206569,"868,273.01","16,670.71",0.461,"66,395.163",3.98,,,,
11568787771,3330092,52,48,206566,206566,11568786633,818208.93,"818,550.66","16,672.51",0.005,206570,"884,943.72","16,668.01",0.582,"66,393.061",3.98,,,,
11568843292,3330092,53,49,206567,206567,11568842276,834918.07,"835,223.17","16,627.17",0.106,206571,"901,611.73","16,669.51",0.515,"66,388.556",3.98,,,,
11568898662,3330092,54,50,206568,206568,11568897784,851586.68,"851,850.34","16,667.71",0.007,206572,"918,281.24","16,698.94",0.804,"66,430.897",3.98,,,,
11568954167,3330092,55,51,206569,206569,11568953351,868273.01,"868,518.05","16,770.41",0.244,206573,"934,980.17","16,705.54",1.100,"66,462.128",3.98,,,,
11569010014,3330092,56,52,206570,206570,11569008866,884943.72,"885,288.45","16,582.12",0.216,206574,"951,685.72","16,666.21",0.663,"66,397.265",3.98,,,,
11569065234,3330092,57,53,206571,206571,11569064372,901611.73,"901,870.58","16,751.19",0.197,206575,"968,351.93","16,674.61",0.286,"66,481.346",3.99,,,,
